Title,Description,Category,Type,Points,Grade Level,Image
"How Much Water Do You Eat?","At the end of this lesson students will be able to:

1. Recognize that some foods have lower water footprints than others and that meat production is particularly water intensive
2. Plan and create a healthy, balanced meal that has a low water footprint
3. Understand how each person’s food choices affect the water availability in the environment

Learn more.","Water Resilience","Curriculum",15,3-12,"https://static.wixstatic.com/media/552536_00b9fab65fde4572a5e8e59696251191~mv2.jpg/v1/fill/w_248,h_124,al_c,q_80,usm_0.66_1.00_0.01/552536_00b9fab65fde4572a5e8e59696251191~mv2.webp"
"Reducing San Francisco's Landfill Waste","Landfills take up a lot of space and use a lot of energy, and San Francisco has set the goal to be ""waste free"" by year 2020. Instead, as much waste as possible will be diverted to recycling and composting facilities, which also creates rich soil for farmers. In this lesson, students learn about decomposition and landfills, and learn how to sort their trash into the appropriate bin. Learn more.","Zero Waste","Curriculum",15,0-12,"https://static.wixstatic.com/media/552536_00b9fab65fde4572a5e8e59696251191~mv2.jpg/v1/fill/w_248,h_124,al_c,q_80,usm_0.66_1.00_0.01/552536_00b9fab65fde4572a5e8e59696251191~mv2.webp"
"Walk and Roll Encouragement Projects","This four lesson unit is comprised of activities that are great for reviewing concepts, preparing for Walk and Roll to School Days, or just for teaching students about commuting safely by foot or bike to school! View the curriculum.","Sustainable Transportation","Curriculum",15,0-5,"https://static.wixstatic.com/media/552536_8d1659f17ac54e1f9c777e516868e115~mv2.png/v1/fill/w_157,h_185,al_c,lg_1,q_80/552536_8d1659f17ac54e1f9c777e516868e115~mv2.webp"
"SF Zoo Teacher Resources","Connect your learners to wildlife using this collection of NGSS aligned online resources designed to enhance lessons in biology, zoology, and ecology. Find guides to pair with your visits to the Zoo and fun, science-based activities to support your wildlife lessons. Learn more.","Connection to Nature","Curriculum",15,0-5,"https://static.wixstatic.com/media/552536_ec9d05dd60d04e3abe92fdb18a037fd7~mv2.jpg/v1/fill/w_248,h_418,al_c,q_80,usm_0.66_1.00_0.01/552536_ec9d05dd60d04e3abe92fdb18a037fd7~mv2.webp"
"Turning the Tide","Water, the basis of life as we know it, is an incredibly dynamic and important substance. Explore the phases of water, sea level rise, and how we can help maintain water’s balance on planet Earth in this 1 hour long, NGSS aligned program at the EcoCenter at Heron's Head Park. Learn more and sign up.","Water Resilience","Field Trips",25,1-3,"https://static.wixstatic.com/media/552536_f339161258e84984abe147388429f3a0~mv2.png/v1/fill/w_248,h_70,al_c,q_80,usm_0.66_1.00_0.01/552536_f339161258e84984abe147388429f3a0~mv2.webp"
"Restoring Diversity: The Wetlands of Heron’s Head Park","Wetlands are hotspots for life, providing habitat, food, and water for a wide diversity of living things. Learn more about these extraordinary ecosystems by exploring the restored wetland in Heron’s Head Park and the constructed wetland in the EcoCenter itself during this 1 hour long, NGSS aligned program. Learn more and sign up.","Connection to Nature","Field Trips",25,3-5,"https://static.wixstatic.com/media/552536_f339161258e84984abe147388429f3a0~mv2.png/v1/fill/w_248,h_70,al_c,q_80,usm_0.66_1.00_0.01/552536_f339161258e84984abe147388429f3a0~mv2.webp"
"Native Plant Explorers","Get up close and personal with California native plants at the EcoCenter and around Heron’s Head Park. Discover the importance of native plants to local wildlife and Bay Area peoples while exploring native plants in the field in this 1 hour long, NGSS aligned program. Learn more and sign up.","Connection to Nature","Field Trips",25,3-5,"https://static.wixstatic.com/media/552536_f339161258e84984abe147388429f3a0~mv2.png/v1/fill/w_248,h_70,al_c,q_80,usm_0.66_1.00_0.01/552536_f339161258e84984abe147388429f3a0~mv2.webp"
"Rock Fund Program","The Rock Fund Program provides a free field trip to the California Academy of Sciences, free field trip bus transportation for school groups not within walking distance, and free educational field trip programs led by professional educators (we have bilingual staff, too!). Select from program options that connect to NGSS content at your grade level such as: SF Geology, Earthquakes, African Ecosystems, Plants & Carbon and more! Learn more and register.","Connection to Nature","Field Trips",25,4-5,"https://static.wixstatic.com/media/552536_00b9fab65fde4572a5e8e59696251191~mv2.jpg/v1/fill/w_248,h_124,al_c,q_80,usm_0.66_1.00_0.01/552536_00b9fab65fde4572a5e8e59696251191~mv2.webp"
"Eco Heroes","What does it take to be an Eco Hero? Students will discover ways they can help protect the environment and care for our animal neighbors in this 1 hour long, NGSS aligned program at the EcoCenter at Heron's Head Park. Learn more and sign up.","Connection to Nature","Field Trips",25,0-2,"https://static.wixstatic.com/media/552536_f339161258e84984abe147388429f3a0~mv2.png/v1/fill/w_248,h_70,al_c,q_80,usm_0.66_1.00_0.01/552536_f339161258e84984abe147388429f3a0~mv2.webp"
"Plants: Carbon, Energy, and Sustainability","What form does carbon take as it cycles around the planet? Students explore how plants grow and what happens to their matter when the plants die. They create microscope slides to investigate how plants take up CO2, gather observations of plant structures, and construct explanations for how air flows through the leaf. Students then use media-rich visualizations, role-playing, and fossil fuel specimens to bolster evidence for how plants affect the amount of CO2 in the air. Tuesdays, September to May. Learn more and register.","Connection to Nature","Field Trips",25,4-5,"https://static.wixstatic.com/media/552536_00b9fab65fde4572a5e8e59696251191~mv2.jpg/v1/fill/w_248,h_124,al_c,q_80,usm_0.66_1.00_0.01/552536_00b9fab65fde4572a5e8e59696251191~mv2.webp"
"Youth Stewardship Program: Sense of Place","YSP offers two programs to choose from: YSP Full (5 trips) and YSP Abbreviated (1- 3 trips). Each program trip can be tailored to meet the needs of teachers and fall within one of our five themes: Sense of Place, Plant Adaptation, Water and Soil, Animal Adaptation and Interdependence.  Each program trip includes an environmental education and habitat restoration component. All programs are free of cost and include an introductory in-class presentation. Learn more and apply.","Connection to Nature","Field Trips",25,1-12,"https://static.wixstatic.com/media/552536_f246740686674b07bcf8cd56b438e7b1~mv2.png/v1/fill/w_217,h_329,al_c,lg_1,q_80/552536_f246740686674b07bcf8cd56b438e7b1~mv2.webp"
"Youth Stewardship Program: Plant Adaptations","YSP offers two programs to choose from: YSP Full (5 trips) and YSP Abbreviated (1- 3 trips). Each program trip can be tailored to meet the needs of teachers and fall within one of our five themes: Sense of Place, Plant Adaptation, Water and Soil, Animal Adaptation and Interdependence.  Each program trip includes an environmental education and habitat restoration component. All programs are free of cost and include an introductory in-class presentation. Learn more and apply.","Connection to Nature","Field Trips",25,1-12,"https://static.wixstatic.com/media/552536_f246740686674b07bcf8cd56b438e7b1~mv2.png/v1/fill/w_217,h_329,al_c,lg_1,q_80/552536_f246740686674b07bcf8cd56b438e7b1~mv2.webp"
